2026-01-01 23:47:00,941 {"intent": "INFO", "confidence": 0.9, "info_key": "cena_sobe", "product_key": null, "is_interrupt": false, "booking_step": null, "message": "Koliko nočitev najmanj moram rezervirati julija?", "metrics": {"info_hits": 1, "booking_starts": 0}}
2026-01-01 23:47:09,425 {"intent": "INFO", "confidence": 0.9, "info_key": "jedilnik", "product_key": null, "is_interrupt": false, "booking_step": null, "message": "Kaj ponujate na kmetiji?", "metrics": {"info_hits": 2, "booking_starts": 0}}
2026-01-01 23:47:14,676 {"intent": "BOOKING_ROOM", "confidence": 0.9, "info_key": null, "product_key": null, "is_interrupt": false, "booking_step": null, "message": "Rad bi rezerviral sobo za vikend.", "metrics": {"info_hits": 2, "booking_starts": 1}}
2026-01-01 23:47:17,245 {"intent": "BOOKING_CONTINUE", "confidence": 0.6, "info_key": null, "product_key": null, "is_interrupt": false, "booking_step": "awaiting_room_date", "message": "Bi lahko rezerviral mizo to nedeljo ob 13:00?", "metrics": {"info_hits": 2, "booking_starts": 1}}
2026-01-01 23:47:22,007 {"intent": "BOOKING_CONTINUE", "confidence": 0.6, "info_key": null, "product_key": null, "is_interrupt": false, "booking_step": "awaiting_room_date", "message": "Bi lahko rezerviral mizo to nedeljo ob 13:00?", "metrics": {"info_hits": 2, "booking_starts": 1}}
2026-01-01 23:47:25,399 {"intent": "BOOKING_CONTINUE", "confidence": 0.6, "info_key": null, "product_key": null, "is_interrupt": false, "booking_step": "awaiting_room_date", "message": "mizo", "metrics": {"info_hits": 2, "booking_starts": 1}}
2026-01-01 23:47:27,424 {"intent": "BOOKING_CONTINUE", "confidence": 0.6, "info_key": null, "product_key": null, "is_interrupt": false, "booking_step": "awaiting_room_date", "message": "konec", "metrics": {"info_hits": 2, "booking_starts": 1}}
2026-01-01 23:47:30,311 {"intent": "BOOKING_TABLE", "confidence": 0.9, "info_key": null, "product_key": null, "is_interrupt": false, "booking_step": null, "message": "Bi lahko rezerviral mizo to nedeljo ob 13:00?", "metrics": {"info_hits": 2, "booking_starts": 2}}
2026-01-01 23:47:33,801 {"intent": "BOOKING_CONTINUE", "confidence": 0.6, "info_key": null, "product_key": null, "is_interrupt": false, "booking_step": "awaiting_table_date", "message": "Imate kakšno suho salamo ali pohorsko bunko?", "metrics": {"info_hits": 2, "booking_starts": 2}}
2026-01-01 23:47:37,197 {"intent": "BOOKING_CONTINUE", "confidence": 0.6, "info_key": null, "product_key": null, "is_interrupt": false, "booking_step": "awaiting_table_date", "message": "Imate kakšno suho salamo ali pohorsko bunko?", "metrics": {"info_hits": 2, "booking_starts": 2}}
2026-01-01 23:47:54,281 {"intent": "BOOKING_CONTINUE", "confidence": 0.6, "info_key": null, "product_key": null, "is_interrupt": false, "booking_step": "awaiting_table_date", "message": "Rad bi rezerviral sobo za vikend.", "metrics": {"info_hits": 2, "booking_starts": 2}}
2026-01-01 23:47:57,988 {"intent": "BOOKING_CONTINUE", "confidence": 0.6, "info_key": null, "product_key": null, "is_interrupt": false, "booking_step": "awaiting_table_date", "message": "Bi lahko rezerviral mizo to nedeljo ob 13:00?", "metrics": {"info_hits": 2, "booking_starts": 2}}
